Team,Year,Wikipedia_Team_Name,URL,1,13,14,19,2,20,2013 Pittsburgh Steelers draft|1,2013 Pittsburgh Steelers draft|2,2013 Pittsburgh Steelers draft|3,2013 Pittsburgh Steelers draft|4,2013 Pittsburgh Steelers draft|5,2013 Pittsburgh Steelers draft|6,2013 Pittsburgh Steelers draft|7,2013 Pittsburgh Steelers draft|Round,2020 Kansas City Chiefs Coaching staff changes|Old coach,2020 Kansas City Chiefs Coaching staff changes|Rod Wilson,2020 Kansas City Chiefs Coaching staff changes|Vacant,2021 Kansas City Chiefs Coaching staff changes|Britt Reid[20],2021 Kansas City Chiefs Coaching staff changes|Connor Embree,2021 Kansas City Chiefs Coaching staff changes|David Girardi,2021 Kansas City Chiefs Coaching staff changes|Deland McCullough[19],2021 Kansas City Chiefs Coaching staff changes|Greg Lewis,2021 Kansas City Chiefs Coaching staff changes|Joe Bleymaier,2021 Kansas City Chiefs Coaching staff changes|Old coach,2022 Kansas City Chiefs Coaching staff changes|Brendan Daly,2022 Kansas City Chiefs Coaching staff changes|Donald D'Alesio,2022 Kansas City Chiefs Coaching staff changes|Matt House,2022 Kansas City Chiefs Coaching staff changes|Mike Kafka,2022 Kansas City Chiefs Coaching staff changes|N/A†,2022 Kansas City Chiefs Coaching staff changes|Old coach,2022 Kansas City Chiefs Coaching staff changes|Sam Madison,2022 Los Angeles Chargers Staff Changes|Coach,2022 Los Angeles Chargers Staff Changes|Dan Shamash,2022 Los Angeles Chargers Staff Changes|Derius Swinton,2022 Los Angeles Chargers Staff Changes|Frank Smith,2022 Los Angeles Chargers Staff Changes|Mayur Chaudhari,2022 Los Angeles Chargers Staff Changes|N/A,2025 Cleveland Browns Free Agents|C,2025 Cleveland Browns Free Agents|CB,2025 Cleveland Browns Free Agents|DE,2025 Cleveland Browns Free Agents|DT,2025 Cleveland Browns Free Agents|G,2025 Cleveland Browns Free Agents|LB,2025 Cleveland Browns Free Agents|LS,2025 Cleveland Browns Free Agents|OT,2025 Cleveland Browns Free Agents|Pos.,2025 Cleveland Browns Free Agents|QB,2025 Cleveland Browns Free Agents|RB,2025 Cleveland Browns Free Agents|S,2025 Cleveland Browns Free Agents|TE,2025 Cleveland Browns Free Agents|WR,21,22,24,240[b],246[b],248[b],26,27,28,3,30,32,35,38,4,42,5,50,52,56,63,64,68,7,71,73,78,79,84,86,90,91,98,Al Harris,Alan Williams,Anthony Weaver[21],April 14,April 18,April 9,Assistant defensive line,Assistant offensive coach,Assistant quarterback coach,Assistant running backs|Justin Hinds,August 28,August 9,Bills,Bob Sutton,Bobby Engram[15],Britt Reid,C,CB,Cardinals,Category,Chris Beatty(Wide receivers coach)|Andrew Janocko,Chris Beatty(Wide receivers coach)|Omar Young,Chris Beatty(Wide receivers coach)|Phil Snow,Chris Hewitt[8],Cliff Stein,Coach,Connor Embree,Cowboys,Craig Ver Steeg,D'Anton Lynn[20],DE,DL,DT,Damon Mitchell,Date,David Blackburn[24],David Girardi,Defensive backs coach,Defensive line coach,Dennard Wilson[19],Derrick Ansley,Dick Cass[17],Don Martindale[14],Doug Mallory,Draft order|Round,Drew Wilkins[16],Emmitt Thomas,Eric Bieniemy,FB,Final score,Forced fumbles,G,Greg Lewis,Greg Roman[15],HOF,ILB,Interceptions,Isaac Shewmaker,Jake Rudock,James Urban,January 15,January 7,Jay Valai,Joe Bleymaier,Joe D'Alessandris[25],Joe Hortiz[16],Joe Lombardi,Joique Bell,K,Keith Williams[23],Kerry Hyder,Kickoff Return Yards,Kickoff return yards,LB,LG,LS,LT,Luke Getsy,March 10,March 12,March 13,March 14,March 15,March 16,March 21,March 9,Marco Zucconi,Mark DeLeone,Matt Nagy,Michael Wilhoite,Mike Devlin[22],Mike Macdonald[17],Mike Smith,N/A,NFC East|(2)Philadelphia Eagles,NFC East|(6)Washington Commanders,NFC East|Dallas Cowboys,NFC East|New York Giants,NFC East|viewtalkedit,NT,Nevin Lawson,Notable Departures|CB,Notable Departures|DE,Notable Departures|DT,Notable Departures|OT,Notable Departures|P,Notable Departures|RB,Notable Departures|SS,Notable Departures|TE,Notable Departures|WR,Number,OG,OLB,OT,Offensive coordinator,Old coach,Outside linebackers coach,P,POS|C,POS|FB,POS|LG,POS|LT,POS|QB,POS|RB,POS|RG,POS|RT,POS|TE,POS|WR,Panthers,Passing Touchdowns,Passing Yards,Passing touchdowns,Passing yards,Points,Pos.,Punt Return Yards,Punt return yards,QB,Quarter,Quarterbacks coach,RB,RG,RT,Rank,Receiving Touchdowns,Receiving Yards,Receiving touchdowns,Receiving yards,Receptions,Renaldo Hill,Richard Angulo,Rob Leonard[20],Rob Ryan[16],Robbie Picazo&Ryan Griffin(Assistant quarterbacks/wide receivers)|Luke Steckel,Robbie Picazo&Ryan Griffin(Assistant quarterbacks/wide receivers)|Tim Zetts,Ron Medlin[18],Round,Running backs coach,Rushing Touchdowns,Rushing Yards,Rushing touchdowns,Rushing yards,Ryan Osborn[17],S,Sacks,Sean Magee,Senior director of college scouting,Shane Day,Steve Saunders,T,TE,Tackles,Tee Martin,Tom Donatell,Tyke Tolbert,WR,Week,Zach Orr[18]
Dallas Cowboys,2013,Dallas Cowboys,https://en.wikipedia.org/wiki/2013_Dallas_Cowboys_season,August 9,,,,August 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 24,,,,,August 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Dallas Cowboys,2012,Dallas Cowboys,https://en.wikipedia.org/wiki/2012_Dallas_Cowboys_season,August 13,,,,August 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 25,,,,,August 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Dallas Cowboys,2014,Dallas Cowboys,https://en.wikipedia.org/wiki/2014_Dallas_Cowboys_season,August 7,,,,August 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 23,,,,,August 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Dallas Cowboys,2017,Dallas Cowboys,https://en.wikipedia.org/wiki/2017_Dallas_Cowboys_season,August 12,,,,August 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 26,,,,,August 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Dallas Cowboys,2015,Dallas Cowboys,https://en.wikipedia.org/wiki/2015_Dallas_Cowboys_season,August 13,,,,August 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 29,,,,,September 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Dallas Cowboys,2016,Dallas Cowboys,https://en.wikipedia.org/wiki/2016_Dallas_Cowboys_season,August 13,,,,August 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 25,,,,,September 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Dallas Cowboys,2018,Dallas Cowboys,https://en.wikipedia.org/wiki/2018_Dallas_Cowboys_season,August 9,,,,August 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 26,,,,,August 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Dallas Cowboys,2020,Dallas Cowboys,https://en.wikipedia.org/wiki/2020_Dallas_Cowboys_season,August 16,,,,August 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 29,,,,,September 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Dallas Cowboys,2019,Dallas Cowboys,https://en.wikipedia.org/wiki/2019_Dallas_Cowboys_season,August 10,,,,August 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 24,,,,,August 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Dallas Cowboys,2021,Dallas Cowboys,https://en.wikipedia.org/wiki/2021_Dallas_Cowboys_season,August 13,,,,August 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Dallas Cowboys,2024,Dallas Cowboys,https://en.wikipedia.org/wiki/2024_Dallas_Cowboys_season,August 11,,,,August 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Dallas Cowboys,2022,Dallas Cowboys,https://en.wikipedia.org/wiki/2022_Dallas_Cowboys_season,August 13,,,,August 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Dallas Cowboys,2023,Dallas Cowboys,https://en.wikipedia.org/wiki/2023_Dallas_Cowboys_season,August 12,,,,August 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Dallas Cowboys,2025,Dallas Cowboys,https://en.wikipedia.org/wiki/2025_Dallas_Cowboys_season,August 9,,,,August 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Denver Broncos,2011,Denver Broncos,https://en.wikipedia.org/wiki/2011_Denver_Broncos_season,August 11,,,,August 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 27,,,,,September 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Denver Broncos,2012,Denver Broncos,https://en.wikipedia.org/wiki/2012_Denver_Broncos_season,August 9,,,,August 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 26,,,,,August 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Denver Broncos,2014,Denver Broncos,https://en.wikipedia.org/wiki/2014_Denver_Broncos_season,August 7,,,,August 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 23,,,,,August 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Denver Broncos,2013,Denver Broncos,https://en.wikipedia.org/wiki/2013_Denver_Broncos_season,August 8,,,,August 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 24,,,,,August 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Denver Broncos,2015,Denver Broncos,https://en.wikipedia.org/wiki/2015_Denver_Broncos_season,August 14,,,,August 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 29,,,,,September 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Denver Broncos,2017,Denver Broncos,https://en.wikipedia.org/wiki/2017_Denver_Broncos_season,August 10,,,,August 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 26,,,,,August 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Denver Broncos,2016,Denver Broncos,https://en.wikipedia.org/wiki/2016_Denver_Broncos_season,August 11,,,,August 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 27,,,,,September 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Denver Broncos,2018,Denver Broncos,https://en.wikipedia.org/wiki/2018_Denver_Broncos_season,August 11,,,,August 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 23,,,,,August 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Denver Broncos,2019,Denver Broncos,https://en.wikipedia.org/wiki/2019_Denver_Broncos_season,August 8,,,,August 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 24,,,,,August 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Denver Broncos,2020,Denver Broncos,https://en.wikipedia.org/wiki/2020_Denver_Broncos_season,August 15,,,,August 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 29,,,,,September 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Denver Broncos,2021,Denver Broncos,https://en.wikipedia.org/wiki/2021_Denver_Broncos_season,August 14,,,,August 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Denver Broncos,2022,Denver Broncos,https://en.wikipedia.org/wiki/2022_Denver_Broncos_season,August 13,,,,August 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Denver Broncos,2023,Denver Broncos,https://en.wikipedia.org/wiki/2023_Denver_Broncos_season,August 11,,,,August 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Denver Broncos,2024,Denver Broncos,https://en.wikipedia.org/wiki/2024_Denver_Broncos_season,August 11,,,,August 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Denver Broncos,2025,Denver Broncos,https://en.wikipedia.org/wiki/2025_Denver_Broncos_season,August 9,,,,August 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Detroit Lions,2013,Detroit Lions,https://en.wikipedia.org/wiki/2013_Detroit_Lions_season,August 9,,,,August 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 22,,,,,August 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
Detroit Lions,2014,Detroit Lions,https://en.wikipedia.org/wiki/2014_Detroit_Lions_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rashean Mathis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Running back,,,,,,,,,,,,Kevin Ogletree,,Brandon Pettigrew,,,Andre Fluellen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Lions,2017,Detroit Lions,https://en.wikipedia.org/wiki/2017_Detroit_Lions_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cornelius Lucas,,,,,,Matthew Stafford,Tim Wright,,,,,,,,,,,,,,,,,,,,,,,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don Muhlbach,,Armonty Bryant,Khyri Thornton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Lions,2018,Detroit Lions,https://en.wikipedia.org/wiki/2018_Detroit_Lions_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T. J. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Player,,,,,,,,,,,,,,,,,,,,,,,,Quarterback,,,,,,,,,,,,Defensive end,,,,,,,,Don Muhlbach,,Tavon Wilson,Nick Bellore,,Zach Zenner,,,,,,,,,,,,,,,,,Cornerback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Lions,2019,Detroit Lions,https://en.wikipedia.org/wiki/2019_Detroit_Lions_season,August 8,,,,August 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 23,,,,,August 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,
